Symbol,Name
BTC,Bitcoin
ETH,Ethereum
USDT,TetherUs
BNB,BNB
USDC,USD Coin
XRP,Ripple
ADA,Cardano
MATIC,Polygon
DOGE,Dogecoin
SOL,Solana
BUSD,BUSD
DOT,Polkadot
SHIB,SHIBA INU
LTC,Litecoin
TRX,TRON
AVAX,Avalanche
DAI,Dai
UNI,Uniswap
WBTC,Wrapped Bitcoin
LINK,ChainLink
ATOM,Cosmos
ETC,Ethereum Classic
XMR,Monero
BCH,Bitcoin Cash
FIL,Filecoin
XLM,Stellar Lumens
APT,Aptos
LDO,Lido DAO
TUSD,TrueUSD
HBAR,Hedera Hashgraph
NEAR,NEAR Protocol
VET,VeChain
ICP,Internet Computer
STX,Stacks
APE,ApeCoin
ONT,Quant
ALGO,Algorand
GRT,The Graph
FTM,Fantom
IMX,ImmutableX
EOS,EOS
CFX,Conflux Network
MANA,Decentraland
XTZ,Tezos
FLOW,Flow
AAVE,Aave
EGLD,MultiversX
THETA,Theta Token
AXS,Axie Infinity
SAND,The Sandbox
NEO,NEO
USDP,Pax Dollar
OP,Optimism
RPL,Rocket Pool
CHZ,Chiliz
LUNC,Terra Classic
CRV,Curve
MINA,Mina
KLAY,Klaytn
SNX,Synthetix Network Token
CAKE,PancakeSwap
GMX,GMX
MKR,Maker
DASH,Dash
BTTC,BitTorrent
FXS,Frax Share
IOTA,MIOTA
AGIX,Singularity Token
XEC,eCash
ZEC,Zcash
RNDR,Render Token
PAXG,PAX Gold
TWT,Trust Wallet Token
RUNE,THORChain
FTT,FTX Token
LRC,Loopring
ZIL,Zilliqa
1INCH,1inch
MASK,Mask Network
KAVA,Kava
DYDX,dYdX
CVX,Convex Finance
ENJ,Enjin Coin
OSMO,Osmosis
MAGIC,Magic
SSV,SSV Token
BAT,Basic Attention Token
WOO,WOO Network
T,Threshold
XEM,NEM
ROSE,Oasis Network
NEXO,Nexo
ANKR,Ankr
FET,Fetch.AI
LUNA,Terra
QTUM,Qtum
TFUEL,Theta Fuel
COMP,Compound
RVN,Ravencoin
GALA,Gala
BAL,Balancer
HOT,Holo
CELO,Celo
INJ,Injective
YFI,yearn.finance
MOB,MobileCoin
DCR,Decred
KSM,Kusama
ASTR,Astar
AR,Arweave
AUDIO,Audius
ENS,Ethereum Name Service
ONE,Harmony
OMG,OMG Network
GNS,Gains Network
SUSHI,Sushi
GMT,Green Metaverse Token
WAVES,Waves
GLMR,Glimmer
GLM,Golem
IOTX,IoTex
OCEAN,Ocean Protocol
JST,JUST
JASMY,JasmyCoin
KDA,Kadena
USTC,TerraClassicUSD
BAND,BAND
SC,Siacoin
LOTY,Liquity
ICX,ICON
ONT,Ontology
HNT,Helium
ACH,Alchemy Pay
IOST,IOST
ZRX,0x
BICO,Biconomy
HIVE,Hive
FLUX,Flux
RSR,Reserve Rights
SKL,SKALE Network
CKB,CKB
ELE,aelf
BNX,BinaryX
SFP,SafePal
ILV,Illuvium
LPT,Livepeer
AMP,AMP
WAXP,WAX
RIF,RSK Infrastructure Framework
SXP,Swipe
STORJ,Stori
DGB,DigiByte
CELR,Celer Network
SYN,Synapse
API3,API3
MULTI,Multichain
ZEN,Horizen
